InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 08:26:00,3.39,17850.0,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28:00,1.85,17850.0,United Kingdom
536382,21832,CHOCOLATE CALCULATOR,12,2010-12-01 09:45:00,1.65,16098.0,United Kingdom
536390,22968,ROSE COTTAGE KEEPSAKE BOX ,8,2010-12-01 10:19:00,8.5,17511.0,United Kingdom
536390,84030E,ENGLISH ROSE HOT WATER BOTTLE,24,2010-12-01 10:19:00,3.75,17511.0,United Kingdom
536390,22969,HOMEMADE JAM SCENTED CANDLES,96,2010-12-01 10:19:00,1.25,17511.0,United Kingdom
536393,22180,RETROSPOT LAMP,8,2010-12-01 10:37:00,9.95,13747.0,United Kingdom
536394,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2010-12-01 10:39:00,2.1,13408.0,United Kingdom
536398,22111,SCOTTIE DOG HOT WATER BOTTLE,9,2010-12-01 10:52:00,4.95,13448.0,United Kingdom
536401,82581,TOILET METAL SIGN,2,2010-12-01 11:21:00,0.55,15862.0,United Kingdom
536401,20963,APPLE BATH SPONGE,1,2010-12-01 11:21:00,1.25,15862.0,United Kingdom
536401,22451,SILK PURSE BABUSHKA RED,1,2010-12-01 11:21:00,3.35,15862.0,United Kingdom
536401,22549,PICTURE DOMINOES,1,2010-12-01 11:21:00,1.45,15862.0,United Kingdom
536406,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 11:33:00,7.65,17850.0,United Kingdom
536408,22371,AIRLINE BAG VINTAGE TOKYO 78,4,2010-12-01 11:41:00,4.25,14307.0,United Kingdom
536408,21705,BAG 500g SWIRLY MARBLES,12,2010-12-01 11:41:00,1.65,14307.0,United Kingdom
536409,22197,SMALL POPCORN HOLDER,2,2010-12-01 11:45:00,0.85,17908.0,United Kingdom
536412,21738,COSY SLIPPER SHOES SMALL  RED ,5,2010-12-01 11:49:00,2.95,17920.0,United Kingdom
536415,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,5,2010-12-01 11:57:00,2.95,12838.0,United Kingdom
536415,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2010-12-01 11:57:00,2.95,12838.0,United Kingdom
536415,22899,CHILDREN'S APRON DOLLY GIRL ,2,2010-12-01 11:57:00,2.1,12838.0,United Kingdom
536415,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,3,2010-12-01 11:57:00,1.65,12838.0,United Kingdom
536415,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2010-12-01 11:57:00,0.55,12838.0,United Kingdom
536425,22768,FAMILY PHOTO FRAME CORNICE,2,2010-12-01 12:08:00,9.95,13758.0,United Kingdom
536437,22189,CREAM HEART CARD HOLDER,72,2010-12-01 12:12:00,3.39,13694.0,United Kingdom
536446,85172,HYACINTH BULB T-LIGHT CANDLES,32,2010-12-01 12:15:00,0.42,15983.0,United Kingdom
536446,20774,GREEN FERN NOTEBOOK,2,2010-12-01 12:15:00,1.65,15983.0,United Kingdom
536446,16016,LARGE CHINESE STYLE SCISSOR,10,2010-12-01 12:15:00,0.85,15983.0,United Kingdom
536446,21156,RETROSPOT CHILDRENS APRON,3,2010-12-01 12:15:00,1.95,15983.0,United Kingdom
536460,22926,IVORY GIANT GARDEN THERMOMETER,4,2010-12-01 12:22:00,5.95,14849.0,United Kingdom
536464,22759,SET OF 3 NOTEBOOKS IN PARCEL,1,2010-12-01 12:23:00,1.65,17968.0,United Kingdom
536464,22813,PACK 3 BOXES BIRD PANNETONE ,2,2010-12-01 12:23:00,1.95,17968.0,United Kingdom
536464,22294,HEART FILIGREE DOVE  SMALL,1,2010-12-01 12:23:00,1.25,17968.0,United Kingdom
536464,85231G,ORANGE SCENTED SET/9 T-LIGHTS,1,2010-12-01 12:23:00,0.85,17968.0,United Kingdom
536477,22632,HAND WARMER RED RETROSPOT,12,2010-12-01 12:27:00,2.1,16210.0,United Kingdom
536488,22960,JAM MAKING SET WITH JARS,8,2010-12-01 12:31:00,4.25,17897.0,United Kingdom
536502,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 12:36:00,12.75,16552.0,United Kingdom
536520,22642,SET OF 4 NAPKIN CHARMS STARS   ,4,2010-12-01 12:43:00,2.55,14729.0,United Kingdom
536520,21123,SET/10 IVORY POLKADOT PARTY CANDLES,1,2010-12-01 12:43:00,1.25,14729.0,United Kingdom
536520,21427,SKULLS STORAGE BOX SMALL,2,2010-12-01 12:43:00,2.1,14729.0,United Kingdom
536528,22911,PAPER CHAIN KIT LONDON,1,2010-12-01 13:17:00,2.95,15525.0,United Kingdom
536528,22454,MEASURING TAPE BABUSHKA RED,1,2010-12-01 13:17:00,2.95,15525.0,United Kingdom
536532,22962,JAM JAR WITH PINK LID,12,2010-12-01 13:24:00,0.85,12433.0,Norway
536532,21874,GIN AND TONIC MUG,24,2010-12-01 13:24:00,1.25,12433.0,Norway
